"PROBEID","drug","logFC","adjP","direction","gene_id"
"201512_s_at","mebendazole",-0.188378159184851,0.0316586059647119,"Down","TOMM70"
"201515_s_at","mebendazole",-0.167884391510324,0.0378004045908598,"Down","TSN"
"201516_at","mebendazole",0.278495427614227,2.76550766042239e-05,"Up","SRM"
"201523_x_at","mebendazole",0.194696933680751,0.0219521765729508,"Up","UBE2N"
"201524_x_at","mebendazole",0.207229948305089,0.00642940338162662,"Up","UBE2N"
"201528_at","mebendazole",-0.208828474829914,0.0221687961404738,"Down","RPA1"
"201536_at","mebendazole",1.20495893058239,9.3835578176646e-18,"Up","DUSP3"
"201537_s_at","mebendazole",0.677872727954078,4.88417424617369e-09,"Up","DUSP3"
"201538_s_at","mebendazole",0.441795254390503,7.00261653219655e-09,"Up","DUSP3"
"201548_s_at","mebendazole",-0.263075280570767,0.0108890190924739,"Down","KDM5B"
"201549_x_at","mebendazole",-0.22394553174643,0.0264709612106296,"Down","KDM5B"
"201550_x_at","mebendazole",0.0896567088755945,0.0189401952197303,"Up","ACTG1"
"201554_x_at","mebendazole",0.243849021011297,0.00724041716265982,"Up","GYG1"
"201556_s_at","mebendazole",-0.206538535747136,0.0214134159284374,"Down","VAMP2"
"201559_s_at","mebendazole",0.337749651407894,0.0444825198471212,"Up","CLIC4"
"201565_s_at","mebendazole",-0.66205093998198,1.13146158986214e-09,"Down","ID2"
"201566_x_at","mebendazole",-0.461870998061751,7.00261653219655e-09,"Down","ID2"
"201569_s_at","mebendazole",-0.190816115631436,0.0195934296824109,"Down","SAMM50"
"201573_s_at","mebendazole",-0.166733545941409,0.00810356083038447,"Down","ETF1"
"201574_at","mebendazole",0.274938041148138,0.00025667590640959,"Up","ETF1"
"201577_at","mebendazole",0.39256968294694,0.00119058562635812,"Up","NME1"
"201578_at","mebendazole",0.398691571389876,0.0139243167517556,"Up","PODXL"
"201579_at","mebendazole",0.240523392229867,0.0038213934752855,"Up","FAT1"
"201582_at","mebendazole",0.228031105333697,0.0034050990757173,"Up","SEC23B"
"201584_s_at","mebendazole",0.369650840437569,5.60564711232551e-05,"Up","DDX39A"
"201585_s_at","mebendazole",-0.1712958739141,0.0176621630852461,"Down","SFPQ"
"201587_s_at","mebendazole",0.533306153592055,3.70593073389059e-08,"Up","IRAK1"
"201591_s_at","mebendazole",-0.286460108649428,0.0207363832946998,"Down","NISCH"
"201592_at","mebendazole",-0.149534824475466,0.0447064271906685,"Down","EIF3H"
"201593_s_at","mebendazole",0.221675088018906,0.044090315457412,"Up","ZC3H15"
"201594_s_at","mebendazole",0.193721242818224,0.0379429236038284,"Up","PPP4R1"
"201596_x_at","mebendazole",0.801564680678552,2.15220311297757e-08,"Up","KRT18"
"201599_at","mebendazole",0.289828273852955,0.0301853852131179,"Up","OAT"
"201601_x_at","mebendazole",-0.67229029270038,0.000115561341224537,"Down","IFITM1"
"201602_s_at","mebendazole",0.222620808904246,0.0125466033320162,"Up","PPP1R12A"
"201603_at","mebendazole",0.240056832686384,0.0125024065815896,"Up","PPP1R12A"
"201604_s_at","mebendazole",0.188816212324569,0.00261626186272459,"Up","PPP1R12A"
"201609_x_at","mebendazole",0.279176434077712,0.00062952827431555,"Up","ICMT"
"201610_at","mebendazole",-0.0924016305219492,0.044612753885893,"Down","ICMT"
"201612_at","mebendazole",-0.244598707576689,0.0343830592810998,"Down","ALDH9A1"
"201620_at","mebendazole",-0.210897578241716,0.0228641761073561,"Down","MBTPS1"
"201622_at","mebendazole",-0.148334359051051,0.0279506772920731,"Down","SND1"
"201625_s_at","mebendazole",-0.327451953546482,0.000260004431386253,"Down","INSIG1"
"201626_at","mebendazole",-0.401851561354617,3.10025625337806e-05,"Down","INSIG1"
"201627_s_at","mebendazole",-0.241961506599588,0.0248524014460653,"Down","INSIG1"
"201634_s_at","mebendazole",-0.20344002557234,0.0130712790243758,"Down","CYB5B"
"201636_at","mebendazole",0.257604717991198,0.00141550805548553,"Up","FXR1"
"201643_x_at","mebendazole",-0.233253328355994,0.000231585731344493,"Down","KDM3B"
"201649_at","mebendazole",-0.299369039353406,0.00115575483231623,"Down","UBE2L6"
"201652_at","mebendazole",-0.22299567338915,0.00147565837198278,"Down","COPS5"
"201653_at","mebendazole",0.20959983339906,0.0112486864715682,"Up","CNIH1"
"201660_at","mebendazole",0.51607117548372,1.84331829082693e-08,"Up","ACSL3"
"201661_s_at","mebendazole",0.434045738460275,9.3802559734596e-05,"Up","ACSL3"
"201663_s_at","mebendazole",-0.244116271159594,0.00928126242161812,"Down","SMC4"
"201666_at","mebendazole",-0.472742920380539,0.00296839330799148,"Down","TIMP1"
"201667_at","mebendazole",-0.759910663287378,0.0148024871022932,"Down","GJA1"
"201671_x_at","mebendazole",0.319619035014028,0.00372461996297607,"Up","USP14"
"201676_x_at","mebendazole",0.170560276835735,0.0211829401421067,"Up","PSMA1"
