"PROBEID","drug","logFC","adjP","direction","gene_id"
"201115_at","Vorinostat",-0.213636459574527,0.000177949416834163,"Down","POLD2"
"201119_s_at","Vorinostat",0.353577046430901,4.91855817142046e-07,"Up","COX8A"
"201120_s_at","Vorinostat",-0.417800748401322,4.80966873259394e-08,"Down","PGRMC1"
"201121_s_at","Vorinostat",-0.223266794566033,0.00098195072164937,"Down","PGRMC1"
"201122_x_at","Vorinostat",0.414673696377355,2.77558724939935e-08,"Up","EIF5A"
"201123_s_at","Vorinostat",0.921886480877411,3.36394591270293e-07,"Up","EIF5A"
"201124_at","Vorinostat",-0.158952554561233,0.00647659687214869,"Down","ITGB5"
"201125_s_at","Vorinostat",-0.51471026548979,6.14181692570712e-09,"Down","ITGB5"
"201126_s_at","Vorinostat",0.321811533099866,6.02058423887644e-09,"Up","MGAT1"
"201127_s_at","Vorinostat",-0.143274222056217,0.0300954081376561,"Down","ACLY"
"201128_s_at","Vorinostat",-0.167192687786962,0.0405883579426372,"Down","ACLY"
"201129_at","Vorinostat",-0.41012135809925,8.60140052215957e-09,"Down","SRSF7"
"201131_s_at","Vorinostat",0.685670766949987,0.0002076325298542,"Up","CDH1"
"201132_at","Vorinostat",-0.177600489020053,0.0126656209937475,"Down","HNRNPH2"
"201133_s_at","Vorinostat",0.288121214564434,0.00707721452625996,"Up","PJA2"
"201135_at","Vorinostat",0.201903008238038,0.0240314689324407,"Up","ECHS1"
"201138_s_at","Vorinostat",0.161973475032004,0.0177203324587249,"Up","SSB"
"201139_s_at","Vorinostat",-0.171698971691552,0.0191041713945366,"Down","SSB"
"201140_s_at","Vorinostat",0.385705733399291,1.11757456394186e-06,"Up","RAB5C"
"201141_at","Vorinostat",-0.383228321411206,0.00851693943152119,"Down","GPNMB"
"201142_at","Vorinostat",0.159275767673162,0.00317573202674127,"Up","EIF2S1"
"201143_s_at","Vorinostat",0.218875020264282,5.10130168237412e-05,"Up","EIF2S1"
